name,role,team,appearances,goals,assists,yellow_cards,red_cards,mvps,goals_con,ratio
Luiz Henrique Cardoso,Forward,G3X FC,6,0,0,0,0,0,0,0
Yanis Barka,Forward,Foot2Rue,3,3,2,0,0,1,0,0
Abdel Medioub,Defender,Foot2Rue,3,1,0,0,0,0,0,0
Théo Chendri,Midfielder,Foot2Rue,3,0,1,0,0,0,0,0
Salah Bouazza,Defender,Foot2Rue,3,0,0,0,0,0,0,0
Clément Goguey,Midfielder,Foot2Rue,3,1,1,0,0,0,0,0
Amar Cekic,Midfielder,Youniors F.C.,2,0,0,0,0,0,0,0
Allan Rakotovazaha,Goalkeeper,Foot2Rue,3,0,0,1,0,0,2,0.67
Amara Fofana,Forward,Foot2Rue,3,4,0,0,0,0,0,0
Melvin Bachelet,Defender,Foot2Rue,3,1,1,0,0,0,0,0
Lucas Valeri,Midfielder,Foot2Rue,3,0,0,0,0,0,0,0
Christian Nsapu,Goalkeeper,Foot2Rue,3,0,0,0,0,0,11,3.67
Änis Ben-Hatira,Midfielder,Youniors F.C.,2,0,0,0,0,0,0,0
Tim Böff,Goalkeeper,Youniors F.C.,2,0,0,0,0,0,6,3.00
Ilias Dahmi,Midfielder,Medallo City,2,0,0,1,0,0,0,0
Marcos Ortiz,Midfielder,Medallo City,2,0,0,0,0,0,0,0
Leigh Rose,Midfielder,Medallo City,2,1,0,0,0,0,0,0
Lillo Guarneri,Goalkeeper,Deptostra FC,1,0,0,0,0,0,1,1.00
Karam Ben Mhani,Forward,Medallo City,2,0,0,0,0,0,0,0
Ibi Ugradar,Goalkeeper,Medallo City,2,0,0,0,0,0,7,3.50
Hamza Masoudi,Forward,Deptostra FC,2,1,0,0,0,0,0,0
Joseph Diomande,Forward,Medallo City,2,0,0,0,0,0,0,0
Seppe Brulmans,Midfielder,Deptostra FC,2,0,0,0,0,0,0,0
Mihailov Eugene,Midfielder,Medallo City,1,0,0,0,0,0,0,0
Chikosi Basden,Defender,Medallo City,2,0,0,0,0,0,0,0
Dario Oger,Midfielder,Deptostra FC,2,2,1,0,0,0,0,0
Joel Paredes,Forward,Rayo de Barcelona,0,0,0,0,0,0,0,0
Kevin Sosa,Midfielder,Medallo City,2,0,0,0,0,0,0,0
Sahir Boumhand,Defender,Deptostra FC,2,0,0,0,0,0,0,0
Luka Marušić,Midfielder,Medallo City,2,0,0,0,0,0,0,0
Thomas Chesneau,Goalkeeper,Deptostra FC,2,0,0,0,0,0,8,4.00
Yannis Salibur,Forward,Deptostra FC,2,0,0,0,0,0,0,0
Jordy Gillekens,Defender,Deptostra FC,2,1,0,1,0,0,0,0
Pieter Kempeneers,Midfielder,Deptostra FC,2,0,0,0,0,0,0,0
Naoki Waragaya,Midfielder,Murash FC,3,0,0,0,0,0,0,0
Keisuke Enjo,Midfielder,Murash FC,0,0,0,0,0,0,0,0
Koujiro Kanetake,Defender,Murash FC,3,1,0,0,0,0,0,0
Tatsuya Hirai,Forward,Murash FC,3,1,0,0,0,0,0,0
José Manuel Fontcuberta,Forward,PIO FC,0,0,0,0,0,0,0,0
Kenta Kobayashi,Forward,Murash FC,3,1,0,0,0,0,0,0
Keisuke Fukaya,Goalkeeper,Murash FC,3,0,0,0,0,1,12,4.00
Kosei Nunoo,Defender,Murash FC,1,0,0,0,0,0,0,0
Riyohei Oda,Midfielder,Murash FC,3,1,1,0,0,0,0,0
Yusei Narita,Goalkeeper,Murash FC,0,0,0,0,0,0,0,0
Vlad Marin,Defender,Stallions,4,0,0,1,0,0,0,0
Andrea Benedetti,Forward,Stallions,3,0,0,0,0,0,0,0
Leon Baldi,Defender,Stallions,4,0,0,0,0,0,0,0
Mattia Spera,Midfielder,Stallions,4,0,1,0,0,0,0,0
Andrea Tarasco,Defender,Stallions,4,0,0,0,0,0,0,0
Fahad Rudayni,Midfielder,SXB FC,3,0,0,0,0,0,0,0
Justyn D’Ippolito,Goalkeeper,Stallions,0,0,0,0,0,0,0,0
Stefano Sberna,Defender,Stallions,2,1,0,0,0,0,0,0
Giovanni Valtulini,Midfielder,Stallions,4,0,1,1,0,0,0,0
Issam Zaki,Forward,Stallions,2,0,0,0,0,0,0,0
Osman Naz,Goalkeeper,Limon FC,1,0,0,0,1,0,1,1.00
Berker Güllü,Forward,Limon FC,0,0,0,0,0,0,0,0
Yiğit Yenihayat,Defender,Limon FC,0,0,0,0,0,0,0,0
Berke Onuk,Midfielder,Limon FC,5,0,1,0,0,0,0,0
Yiğit Özbey,Midfielder,Limon FC,2,0,0,0,0,0,0,0
Hiroki Kiyokawa,Midfielder,Murash FC,3,3,1,0,0,0,0,0
Ben Black,Forward,FIVE FC,0,0,0,0,0,0,0,0
Radheya Ickrath,Midfielder,FIVE FC,1,0,0,0,0,0,0,0
Osman Ural,Midfielder,Limon FC,5,0,0,2,0,0,0,0
Mo Omar,Midfielder,FIVE FC,1,0,0,0,0,0,0,0
Tyrelle Newton,Midfielder,FIVE FC,1,1,0,0,0,0,0,0
Tom Clare,Forward,FIVE FC,1,2,0,0,0,0,0,0
Dom Short,Midfielder,FIVE FC,1,0,0,0,0,0,0,0
Manny Brown,Midfielder,FIVE FC,1,0,0,0,0,0,0,0
Louis Matthews,Forward,FIVE FC,1,1,0,0,0,0,0,0
Eihab Mohamed,Midfielder,SXB FC,3,1,1,0,0,0,0,0
Thiago Grippi,Midfielder,SXB FC,3,0,1,0,0,0,0,0
Gabriel 'Paraíso' Ferro,Midfielder,SXB FC,1,0,0,0,0,0,0,0
Anderson Migulha,Midfielder,SXB FC,3,0,0,0,0,0,0,0
Wanderson Da Silva,Defender,SXB FC,3,1,0,0,0,0,0,0
Bruno 'Lambão' Araújo,Goalkeeper,SXB FC,3,0,0,1,0,0,4,1.33
Mohammed Ahmed,Goalkeeper,SXB FC,1,0,0,0,0,0,1,1.00
Juanfran Torres,Defender,El Barrio,0,0,0,0,0,0,0,0
Enric Avellaneda,Goalkeeper,PIO FC,0,0,0,0,0,0,0,0
Yevhen Konoplyanka,Midfielder,UA Steel,2,0,0,0,0,0,0,0
Andriy Pyatov,Goalkeeper,UA Steel,1,0,0,0,0,0,2,2.00
Oleg Shelayev,Defender,UA Steel,1,0,0,0,0,0,0,0
David Moreno,Goalkeeper,Rayo de Barcelona,0,0,0,0,0,0,0,0
Dmytro Chygrynskiy,Defender,UA Steel,2,0,0,0,0,0,0,0
Junior Moraes,Forward,UA Steel,2,0,0,0,0,0,0,0
Darijo Srna,Defender,UA Steel,0,0,0,0,0,0,0,0
Edmar Lacerda,Midfielder,UA Steel,2,0,0,0,0,0,0,0
Marlos Romero,Midfielder,UA Steel,2,0,0,0,0,0,0,0
Andriy Voronin,Midfielder,UA Steel,2,0,0,0,0,0,0,0
Mykola Morozyuk,Defender,UA Steel,2,0,0,0,0,0,0,0
José Medina,Forward,Los Chamos FC,0,0,0,0,0,0,0,0
Bernaldino Valdovinos,Goalkeeper,Los Chamos FC,0,0,0,0,0,0,0,0
Dorlan Pabón,Forward,Atlético Parceros FC,0,0,0,0,0,0,0,0
Frankie Moralee,Defender,FIVE FC,1,0,0,0,0,0,0,0
Max Pitman,Goalkeeper,FIVE FC,1,0,0,0,0,0,6,6.00
Viktor Boone,Defender,Deptostra F,2,0,1,1,0,0,0,0
Alp Arda,Goalkeeper,Limon FC,5,0,0,1,0,1,10,2.00
Mehmet Yeşil,Defender,Limon FC,0,0,0,0,0,0,0,0
Berk Kıratlı,Midfielder,Limon FC,2,0,0,0,0,0,0,0
Michele Trombetta,Forward,Stallions,4,3,0,1,0,1,0,0
Ashkan Dejagah,Forward,Youniors F.C.,2,0,0,0,0,0,0,0
Mohammed Tahiri,Midfielder,Youniors F.C.,2,0,0,0,0,0,0,0
Ali Ibrahimaj,Forward,Youniors F.C.,2,0,0,0,0,0,0,0
Max Dombrowka,Defender,Youniors F.C.,2,1,0,1,0,0,0,0
Ahmed Azaouagh,Midfielder,Youniors F.C.,2,0,0,0,0,0,0,0
Mohamed Youssef,Defender,Youniors F.C.,0,0,0,0,0,0,0,0
Suad Ak,Midfielder,Youniors F.C.,1,0,0,0,0,0,0,0
Berkay Sezer,Forward,Limon FC,5,1,1,2,0,0,0,0
Fabiano D'Oliveira,Midfielder,SXB FC,3,0,0,0,0,0,0,0
Farhan Al-Asmari,Midfielder,SXB FC,3,0,0,1,0,0,0,0
